Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
1404,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C180K SE 3DR,06/07/2004,BD04CXR,1.8L,3 Door COUPE,BLUE(CREAM),"58,710",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,10/10/2017,3,7,29/03/2014,,-,"œ1,975","œ1,750",?,?,?,"œ1,625","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Dual Zone Climate, Leather Trim, Radio CD, Traction Control"
511,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E350 CDI BLUEEFFICIENCY [265],15/03/2012,MD12YYS,3.0L,4 Door SALOON,BLUE(GREY),"74,342",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,26/04/2017,2,5,08/09/2016,Marshall Motor Group,-,"œ12,400","œ11,700",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
4103,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E220 CDI BLUEEFF AVANTGARDE 4D,30/10/2012,AO62PHY,2.1L,4 Door SALOON,OBSIDIAN BLACK METALLIC(Black),"46,103",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",1,,1,4,05/10/2016,Mercedes-Benz UK Ltd,-,"œ11,750","œ11,100",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control"
4097,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML350 CDI BLUEEFFICIENCY SPORT,31/10/2009,CU59MKP,3.0L,5 Door STATION WA,TENORITE GREY METALLIC(Black),"80,034",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,,4,4,10/09/2015,Mercedes-Benz UK Ltd,-,"œ11,800","œ11,150",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Radio CD, Sat Nav Functioning, Sunroof"
4067,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY AMG SP,28/10/2013,EK63UKT,2.1L,5 Door ESTATE,OBSIDIAN BLACK METALLIC(BLACK),"50,913",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",2,,1,2,05/05/2016,Mercedes-Benz UK Ltd,-,"œ14,000","œ13,350",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control"
4064,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E350 BLUETEC AMG SPORT 2DR 7G-,05/11/2013,FG63NCY,3.0L,2 Door COUPE,DIAMOND SILVER METALLIC(CREAM),"51,624",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",2,,1,2,05/09/2016,Mercedes-Benz UK Ltd,-,"œ18,100","œ17,350",?,?,?,"œ18,325","Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
4015,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C250 CDI BLUEEFFICIENCY AMG SP,30/01/2013,FM62AZT,2.1L,2 Door COUPE,OBSIDIAN BLACK METALLIC(BLACK),"52,365",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",2,,1,3,24/12/2015,Mercedes-Benz UK Ltd,-,"œ12,500","œ11,850",?,?,?,"œ11,800","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Media Connectivity, Radio CD, Sat Nav Functioning"
4132,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E220 CDI BLUEEFFICIENCY SPORT,26/03/2013,GU13SOJ,2.1L,4 Door SALOON,OBSIDIAN BLACK METALLIC(BLACK),"50,327",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",4,,3,3,30/11/2015,Mercedes-Benz UK Ltd,-,"œ12,850","œ12,150","œ16,283",3,"42,114",?,"Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning"
4100,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C250 CDI BLUEEFFICIENCY AMG SP,04/12/2012,KM62UYD,2.1L,2 Door COUPE,FIRE OPAL(BLACK),"46,464",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,,3,2,12/01/2016,Mercedes-Benz UK Ltd,-,"œ13,450","œ12,800",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
4151,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E400 AMG SPORT PLUS 2DR 7G-TRO,28/11/2013,OV63UVP,3.0L,2 Door COUPE,BLACK(BLACK),"46,026",Miles,w,Petrol,Semi-automatic,Qualifying,"Yes, with Manheim",1,,1,2,10/12/2015,Mercedes-Benz UK Ltd,-,"œ21,750","œ20,850",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
4006,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY AMG SP,15/10/2012,PE62XJH,2.1L,4 Door SALOON,POLAR WHITE,"75,093",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",,,1,4,18/04/2016,Mercedes-Benz UK Ltd,-,"œ10,500","œ9,875",?,?,?,?,
4032,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E350 CDI BLUEEFF [265] AVANTGA,14/09/2012,SG62OBV,3.0L,4 Door SALOON,DIAMOND SILVER METALLIC(Grey),"54,485",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",2,,1,4,16/06/2016,Mercedes-Benz UK Ltd,-,"œ13,250","œ12,550",?,?,?,"œ12,850","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Ipod Connectivity, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
4126,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E220 CDI SE 5DR,29/06/2013,WR13VLP,2.1L,5 Door ESTATE,BLACK(BLACK),"61,256",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",3,,1,3,23/03/2016,Mercedes-Benz UK Ltd,-,"œ12,800","œ12,100",?,?,?,?,"6 Speed, Air Conditioning, Cruise Control, Heated Seats, Leather Trim, Radio CD, Rear Seat Entertainment, Sat Nav Functioning"
541,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 MATCH FSI 5DR,27/02/2007,LE56BZG,1.6L,5 Door HATCHBACK,BLACK(GREY),"71,823",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,15/01/2017,2,2,20/04/2011,Marshall Motor Group,-,"œ2,450","œ2,200",?,?,?,"œ2,550","Air Conditioning, Radio CD"
4038,Bruntingthorpe,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E220 CDI BLUEEFFICIENCY SPORT,26/09/2012,JXZ6805,2.1L,2 Door CABRIOLET,POLAR WHITE(RED),"69,170",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",2,,1,4,25/07/2016,Mercedes-Benz UK Ltd,-,"œ12,900","œ12,250",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Ipod Connectivity, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318I ES 4DR,27/09/2007,DV57ZFD,2.0L,4 Door SALOON,SILVER,"70,961",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",,07/11/2017,2,1,06/12/2008,Marshall Motor Group,-,"œ3,025","œ2,775",?,?,?,"œ2,625",
1143,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,S4 QUATTRO 2DR TIP AUTO,18/01/2007,JT53EGO,4.2L,2 Door CABRIOLET,BLACK(Red),"93,290",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",4,31/03/2017,4,6,26/08/2016,Sandown Mercedes-Benz,-,"œ7,925","œ7,425",?,?,?,?,"Auto Climate Control, Dual Zone Climate, Front Parking Sensors, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
1315,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.4 TSI SE 5DR,29/10/2009,SG59XHN,1.4L,5 Door HATCHBACK,BLACK(Grey),"52,349",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,29/10/2017,1,3,02/06/2015,Money 4 Your Motors LTD,-,"œ4,775","œ4,450",?,?,?,?,"6 Speed, Air Conditioning, Automatic Lights, Aux In, Radio CD, Traction Control"
2040,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,325I SE 4DR,07/08/2007,BG07POF,2.5L,4 Door SALOON,SILVER(BLACK),"86,385",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,15/05/2017,3,9,11/06/2014,Money 4 Your Motors LTD,-,"œ3,300","œ3,025",?,?,?,"œ3,075","6 Speed, Air Conditioning, Automatic Lights, Cruise Control, Radio CD, Rear Parking Sensors, Auto Climate Control, Automatic Wipers, Aux In, Heated Front Screen, Traction Control"
523,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,RAV 4,2.0 D-4D XT4 5DR,31/05/2005,GV05XAP,2.0L,5 Door ESTATE,BEIGE(Black),"110,378",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,18/04/2017,4,8,19/09/2013,Marshall Motor Group,-,"œ1,975","œ1,775",?,?,?,"œ2,275","Air Conditioning, Auto Climate Control, Electric Sun Roof, Leather Trim, Radio CD"
415,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,3.2 V6 R32 4MOTION 5DR,11/11/2005,R32TAL,3.2L,5 Door HATCHBACK,BLACK(BLACK),"117,800",Miles,,Petrol,Manual,Margin,No,5,,9,6,13/12/2013,,-,"œ4,225","œ3,925",?,?,?,"œ3,950","6 Speed, Auto Climate Control, Automatic Lights, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning, Traction Control"
2511,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,1.9 S TDI 4DR,21/09/2005,AK55ETZ,1.9L,4 Door SALOON,BLUE(BLACK),"112,121",Miles,,Diesel,Manual,Margin,No,3,29/09/2015,5,1,16/01/2008,Car Cash Point,-,"œ1,400","œ1,200",?,?,?,"œ1,025","Radio CD, Air Conditioning, DAB, Privacy Glass"
1200,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,525I SE 4DR AUTO,24/04/2001,Y747OJH,2.5L,4 Door SALOON,SILVER(GREY),"63,585",Miles,,Petrol,Semi-automatic,Margin,"Yes, with Manheim",2,04/01/2017,1,4,25/06/2012,Windrush Volkswagen,-,œ950,œ780,?,?,?,"œ1,350","Air Conditioning, Auto Climate Control, Cruise Control, DAB, Dual Zone Climate, Electric Sun Roof, Front Parking Sensors, Heated Seats, Leather Trim, Rear Parking Sensors"
1292,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 2DR,26/04/2007,EJ07PDV,2.0L,2 Door COUPE,SILVER(Black),"84,175",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,18/03/2017,5,5,28/05/2015,Money 4 Your Motors LTD,-,"œ3,975","œ3,675",?,?,?,?,"6 Speed, Traction Control, Radio CD, Aux In, Cruise Control, Air Conditioning"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER EVOQUE,2.2 SD4 PRESTIGE 5DR AUTO,01/09/2012,FN62YLD,2.2L,5 Door HATCHBACK,BLUE,"53,116",Miles,w,Diesel,Automatic,Margin,No,,,1,,,Marshall Motor Group,-,"œ21,550","œ20,700",?,?,?,"œ22,950",
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318I SE 4DR,06/07/2009,GF09VHB,2.0L,4 Door SALOON,BLUE,"103,683",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",,31/10/2017,2,5,24/05/2016,Marshall Motor Group,-,"œ3,950","œ3,675",?,?,?,"œ3,100",
410,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML320 CDI SE 5DR TIP AUTO,21/11/2007,KM57KPG,3.0L,5 Door STATION WA,SILVER,"153,282",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",,18/10/2017,3,8,30/04/2014,,-,"œ5,625","œ5,200",?,?,?,"œ5,025",6 Speed
438,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI TDV SE 5DR MTRONIC,13/04/2006,BX06DFD,2.0L,5 Door ESTATE,GREY(BLACK),"116,750",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,04/06/2017,3,8,30/05/2015,Allen Ford,-,"œ2,350","œ2,100",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Radio CD, Traction Control"
428,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML270 CDI 5DR TIP AUTO,12/07/2001,Y987BKV,2.7L,5 Door STATION WA,SILVER(Grey),"116,205",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,10/04/2017,3,4,23/01/2008,Pentagon Group,-,"œ1,400","œ1,200",?,?,?,?,"Air Conditioning, Cruise Control, Heated Seats, Media Connectivity, Radio CD, Traction Control"
437,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 HIGHLINE TDI CR DPF 4DR,31/10/2008,LM58HDJ,2.0L,4 Door SALOON,SILVER(BLACK),"133,496",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,31/10/2017,2,14,14/10/2016,Allen Ford,-,"œ2,300","œ2,075",?,?,?,?,"6 Speed, Air Conditioning, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors"
468,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D SE 4DR,16/02/2006,LS55VPV,2.0L,4 Door SALOON,SILVER(BLACK),"102,630",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,03/08/2017,3,9,29/07/2016,Pentagon Group,-,"œ2,925","œ2,650",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Dual Zone Climate, Radio CD, Rear Parking Sensors, Traction Control"
2035,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I EDITION M SPORT 4DR,19/09/2008,BF58LLK,2.0L,4 Door SALOON,SILVER(Black),"97,257",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",3,,3,4,21/02/2016,Money 4 Your Motors LTD,-,"œ4,200","œ3,900",?,?,?,"œ3,950","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Bluetooth, Cruise Control, Dual Zone Climate, Heated Front Screen, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Inoperative, Traction Control"
1001,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI QUATTRO 170 S LINE 5DR,12/10/2007,GU57ZGT,2.0L,5 Door ESTATE,RED(BLACK),"121,188",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",2,14/10/2017,1,8,06/10/2016,Group 1,-,"œ3,550","œ3,275",?,?,?,?,"6 Speed, Air Conditioning, Radio CD, Rear Parking Sensors"
1066,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,SE 5DR STEP AUTO,20/10/2006,LR56HLG,3.0L,5 Door ESTATE,BRONZE(BEIGE),"54,647",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,30/06/2017,3,5,08/08/2014,Group 1,-,"œ6,525","œ6,100",?,?,?,"œ6,575","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,3.0 SDV6 HSE BLACK EDITION 5DR,24/07/2013,OE13EDV,3.0L,5 Door ESTATE,BLACK,"66,432",Miles,w,Diesel,Semi-automatic,Margin,No,,,2,,,Marshall Motor Group,-,"œ26,200","œ25,200","œ39,067",3,"19,383","œ27,400",
1057,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,3.2 V6 R32 4MOTION 5DR,14/01/2008,LM57OKR,3.2L,5 Door HATCHBACK,BLUE(BLACK),"54,299",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,05/12/2017,3,9,07/11/2016,Group 1,-,"œ7,900","œ7,375",?,?,?,"œ9,175","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Dual Zone Climate, Electric Sun Roof, Heated Seats, Leather Trim, Radio CD, Traction Control"
1049,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,TOUAREG,2.5 TDI DPF SE 5DR TIP AUTO,23/04/2007,HN07FMV,2.5L,5 Door ESTATE,BLUE(BLACK),"106,262",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,29/09/2017,5,,,Group 1,-,"œ5,325","œ4,925",?,?,?,"œ4,725","Air Conditioning, Auto Climate Control, Automatic Wipers, Aux In, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Front Screen, Heated Seats, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
529,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,2.0 VTEC TYPE-R 3DR,20/09/2004,PX54VVO,2.0L,3 Door HATCHBACK,BLACK(MULTI-COLOURED),"73,110",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",4,21/03/2017,5,5,14/09/2009,Arnold Clark,-,"œ2,050","œ1,800",?,?,?,"œ3,225","6 Speed, Radio CD"
486,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,325D M SPORT 4DR,12/02/2009,YE58OHU,3.0L,4 Door SALOON,SILVER(BLACK),"108,272",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,20/04/2017,3,6,26/07/2016,Arnold Clark,-,"œ5,250","œ4,900",?,?,?,"œ4,925","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
456,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,RAV 4,2.0 D-4D XT4 5DR,15/03/2004,YT04ESY,2.0L,5 Door ESTATE,BLUE(Black),"86,747",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",3,24/07/2017,4,,,Pentagon Group,-,"œ2,125","œ1,900",?,?,?,"œ2,475","Air Conditioning, Auto Climate Control, Electric Sun Roof, Leather Trim, Radio CD"
436,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A6,2.0 TDI 170 SE 4DR,05/03/2009,WEZ6305,2.0L,4 Door SALOON,BLACK(BLACK),"132,519",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",2,29/04/2017,1,8,13/04/2016,Pentagon Group,-,"œ4,950","œ4,550",?,?,?,"œ3,600","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Heated Seats, Traction Control"
452,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.4 S LINE [6] 2DR,08/07/2005,K666RLW,2.4L,2 Door CABRIOLET,GREY(BLACK),"94,304",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",3,17/05/2017,4,6,23/02/2011,Pentagon Group,-,"œ1,875","œ1,675",?,?,?,"œ2,125","6 Speed, Air Conditioning, Auto Climate Control, Leather Trim, Radio CD"
453,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,330D SE 2DR AUTO,01/12/2006,K400NAG,3.0L,2 Door COUPE,BLUE(Black),"94,225",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,06/05/2017,5,,,Pentagon Group,-,"œ5,375","œ5,000",?,?,?,"œ4,600","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Front Parking Sensors, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors"
375,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 BLUEMOTION TECH MA,01/12/2011,SL61YDR,1.6L,5 Door HATCHBACK,BLUE(BLACK),"106,466",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",2,20/01/2017,2,6,29/09/2016,Mill Group Direct,-,"œ4,900","œ4,550",?,?,?,?,"Air Conditioning, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Radio CD, Rear Parking Sensors, Traction Control"
454,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D SE 5DR,20/12/2012,YS62FFH,2.0L,5 Door ESTATE,GREY(BLACK),"89,783",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",1,19/12/2016,2,2,30/03/2016,Direct Car-Ching,-,"œ9,575","œ9,000",?,?,?,?,"6 Speed, Air Conditioning, Automatic Lights, Aux In, Cruise Control, Dual Zone Climate, Radio CD, Traction Control"
1009,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI S LINE 5DR MTRONIC,07/12/2005,GF55YVG,2.0L,5 Door ESTATE,BLUE(BLACK),"95,871",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,03/05/2017,4,10,25/04/2016,Group 1,-,"œ2,925","œ2,650",?,?,?,?,"Air Conditioning, Auto Climate Control, DAB, Dual Zone Climate, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors"
1072,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D M SPORT 4DR,17/12/2012,RJ62NPF,2.0L,4 Door SALOON,SILVER(BLACK),"54,514",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,16/12/2016,1,,,Group 1,-,"œ12,150","œ11,550",?,?,?,?,"6 Speed, Air Conditioning, Leather Trim, Radio CD, Rear Parking Sensors"
1068,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,2.0D M SPORT 5DR [177],23/09/2008,HV58OFL,2.0L,5 Door ESTATE,SILVER(BLACK),"109,459",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,27/07/2017,3,6,08/03/2016,Group 1,-,"œ5,450","œ5,075",?,?,?,"œ5,750","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Park Assist, Radio CD, Rear Parking Sensors"
1055,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,335I M SPORT 5DR AUTO,27/09/2006,RE56BVR,3.0L,5 Door ESTATE,BLACK(BLACK),"110,513",Miles,,Petrol,Automatic,Margin,"Yes, with Manheim",4,23/02/2017,4,14,17/02/2015,Group 1,-,"œ4,075","œ3,775",?,?,?,"œ4,775","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Panoramic Roof, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
517,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MITSUBISHI,SHOGUN SWB DIESEL,3.2 DDC EQUIPPE VAN,09/04/2008,OU08LDL,3.2L,3 Door PICK UP BODY,GREY(Grey),"69,857",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,03/12/2016,5,5,04/12/2012,Marshall Motor Group,-,"œ5,775","œ4,900",?,?,?,?,"Traction Control, Radio CD, Air Conditioning"
1043,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X5,XDRIVE35D SE 5DR AUTO [],11/12/2009,FV59ORH,3.0L,5 Door ESTATE,GREY(BLACK),"84,205",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",3,02/03/2017,2,6,26/05/2016,Group 1,-,"œ13,100","œ12,400",?,?,?,?,"7 Seats, Air Conditioning, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
1056,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X5,SPORT 5DR AUTO,28/04/2006,BJ06HYP,3.0L,5 Door ESTATE,BLACK(Black),"98,496",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,18/04/2017,3,5,21/05/2012,Group 1,-,"œ6,075","œ5,650",?,?,?,"œ5,850","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors, Rear Seat Entertainment"
